Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,BWH,BWD,BWA,IWH,IWD,IWA,,,
E0,06-02-2019,Everton,Man City,0,2,A,0,1,A,C Pawson,4,15,1,4,12,6,5,6,1,1,0,0,10,6,1.28,8,5.3,1.35,,,
E0,09-02-2019,Brighton,Burnley,1,3,A,0,1,A,S Attwell,16,9,6,5,8,7,9,3,1,1,0,0,2,3.3,4.1,2,3.2,4.05,,,
E0,09-02-2019,Crystal Palace,West Ham,1,1,D,0,1,A,C Pawson,25,6,5,4,12,9,10,4,3,0,0,0,2.05,3.4,3.75,2.1,3.4,3.55,,,
E0,09-02-2019,Fulham,Man United,0,3,A,0,2,A,P Tierney,15,15,3,7,14,9,5,4,3,2,0,0,5.5,4,1.62,5,4,1.65,,,
E0,09-02-2019,Huddersfield,Arsenal,1,2,A,0,2,A,J Moss,15,9,6,4,17,12,5,0,3,2,0,0,5.5,4.1,1.6,5.3,4.05,1.63,,,
E0,09-02-2019,Liverpool,Bournemouth,3,0,H,2,0,H,A Taylor,20,12,9,2,14,6,8,5,2,2,0,0,1.19,7.25,13.5,1.2,6.5,15,,,
E0,09-02-2019,Southampton,Cardiff,1,2,A,0,0,D,M Atkinson,14,6,7,3,15,12,8,2,3,3,0,0,1.75,3.7,4.75,1.75,3.7,4.85,,,
E0,09-02-2019,Watford,Everton,1,0,H,0,0,D,L Probert,7,9,2,4,21,10,8,2,2,0,0,1,2.25,3.4,3.2,2.3,3.4,3.1,,,
E0,10-02-2019,Man City,Chelsea,6,0,H,4,0,H,M Dean,15,12,9,4,9,13,2,2,1,2,0,0,1.48,4.5,6.5,1.55,4,6.2,,,
E0,10-02-2019,Tottenham,Leicester,3,1,H,1,0,H,M Oliver,12,20,5,9,11,4,2,9,3,1,0,0,1.65,3.9,5.25,1.67,3.9,5.1,,,
E0,11-02-2019,Wolves,Newcastle,1,1,D,0,0,D,G Scott,22,9,6,3,7,9,13,1,1,3,0,0,1.7,3.6,5.5,1.67,3.65,5.5,,,
E0,22-02-2019,Cardiff,Watford,1,5,A,0,1,A,S Hooper,15,12,6,7,10,11,3,3,1,2,0,0,3.1,3.3,2.4,2.85,3.3,2.5,,,
E0,22-02-2019,West Ham,Fulham,3,1,H,2,1,H,L Mason,21,8,7,5,11,11,12,0,1,1,0,0,1.91,3.75,4,1.9,3.7,3.85,,,
E0,23-02-2019,Bournemouth,Wolves,1,1,D,1,0,H,R East,10,10,3,2,10,15,9,8,4,5,0,0,2.8,3.25,2.6,2.8,3.25,2.6,,,
E0,23-02-2019,Burnley,Tottenham,2,1,H,0,0,D,M Dean,10,17,4,6,9,12,7,6,1,3,0,0,5.25,3.7,1.7,5,3.8,1.7,,,
E0,23-02-2019,Leicester,Crystal Palace,1,4,A,0,1,A,A Taylor,27,7,5,5,7,14,8,3,2,1,0,0,2.15,3.3,3.5,2.2,3.25,3.5,,,
E0,23-02-2019,Newcastle,Huddersfield,2,0,H,0,0,D,K Friend,29,3,12,1,11,7,12,0,2,0,0,1,1.83,3.4,4.75,1.8,3.4,4.9,,,
E0,24-02-2019,Arsenal,Southampton,2,0,H,2,0,H,G Scott,12,10,4,4,7,14,6,4,0,0,0,0,1.45,4.5,7,1.45,4.5,7,,,
E0,24-02-2019,Man United,Liverpool,0,0,D,0,0,D,M Oliver,6,7,3,1,15,17,3,7,1,3,0,0,3,3.4,2.35,2.95,3.4,2.4,,,
E0,26-02-2019,Cardiff,Everton,0,3,A,0,1,A,K Friend,6,12,0,4,12,12,3,4,3,1,0,0,3.7,3.3,2.15,3.4,3.3,2.2,,,
E0,26-02-2019,Huddersfield,Wolves,1,0,H,0,0,D,D Coote,15,7,3,0,10,10,3,5,2,2,0,0,5,3.4,1.83,4.9,3.4,1.8,,,
E0,26-02-2019,Leicester,Brighton,2,1,H,1,0,H,L Probert,19,15,3,3,6,4,4,8,1,1,0,0,1.91,3.4,4.5,2,3.4,3.8,,,
E0,26-02-2019,Newcastle,Burnley,2,0,H,2,0,H,C Pawson,12,12,3,2,8,8,4,7,1,3,0,0,2.1,3.3,3.8,2.2,3.1,3.6,,,
E0,27-02-2019,Arsenal,Bournemouth,5,1,H,2,1,H,C Kavanagh,16,13,6,5,11,9,9,4,2,2,0,0,1.44,4.75,7,1.4,4.8,7.5,,,
E0,27-02-2019,Chelsea,Tottenham,2,0,H,0,0,D,A Marriner,11,9,1,0,7,14,2,2,1,1,0,0,2.3,3.4,3.1,2.4,3.4,2.9,,,
E0,27-02-2019,Crystal Palace,Man United,1,3,A,0,1,A,M Atkinson,17,13,2,4,8,9,5,6,2,3,0,0,3.1,3.4,2.3,3.1,3.4,2.3,,,
E0,27-02-2019,Liverpool,Watford,5,0,H,2,0,H,G Scott,19,5,10,3,5,7,6,4,0,2,0,0,1.25,6,12.5,1.25,6.1,11,,,
E0,27-02-2019,Man City,West Ham,1,0,H,0,0,D,S Attwell,20,2,7,1,2,6,12,2,0,2,0,0,1.16,7.5,17,1.17,7.5,15,,,
E0,27-02-2019,Southampton,Fulham,2,0,H,2,0,H,A Taylor,14,14,4,4,15,13,7,4,0,1,0,0,1.91,3.4,4.25,1.9,3.55,4.1,,,
E0,02-03-2019,Bournemouth,Man City,0,1,A,0,0,D,K Friend,0,23,0,7,7,7,0,14,1,2,0,0,12,7,1.22,12,6.8,1.22,,,
E0,02-03-2019,Brighton,Huddersfield,1,0,H,0,0,D,M Dean,13,6,4,4,11,6,6,3,2,2,0,0,1.78,3.4,5.25,1.8,3.35,5,,,
E0,02-03-2019,Burnley,Crystal Palace,1,3,A,0,1,A,L Probert,18,10,4,4,9,9,8,5,1,2,0,0,2.75,3.2,2.65,2.75,3.2,2.65,,,
E0,02-03-2019,Man United,Southampton,3,2,H,0,1,A,S Attwell,16,6,6,3,7,10,9,7,2,1,0,0,1.44,4.5,7.5,1.45,4.5,7.1,,,
E0,02-03-2019,Tottenham,Arsenal,1,1,D,0,1,A,A Taylor,10,9,3,4,15,14,3,4,3,2,0,1,2.05,3.4,3.75,2,3.65,3.55,,,
